,rotation_err_deg,trans_err_m,reproj_err_px
count,494.0,494.0,494.0
mean,1.3696894736842107,0.02908921052631579,0.8930921052631579
std,0.8875654314482699,0.018946240063929604,0.3517042261706694
min,0.0744,0.00323,0.41200000000000003
25%,0.783275,0.01723,0.6730624999999999
50%,1.1911,0.02558,0.783875
75%,1.6917499999999999,0.034985,0.9748249999999999
90%,2.39693,0.05074199999999999,1.3662450000000002
95%,2.954404999999999,0.06356399999999998,1.680249999999999
max,6.5843,0.17194,2.70215
